task_id,avg_test_score,std_test_score
168910,0.4905339805825242,0.0161743512888203
167120,0.5131160022148394,0.002478296235094
359969,0.5492374727668845,0.0261428830633971
359970,0.5515519568151146,0.0189840220497821
359959,0.5878378378378379,0.0200437796948531
359974,0.5948299319727891,0.0138788848231908
10090,0.6022222222222222,0.0427683972398912
359954,0.6495495495495496,0.0249013963262797
2073,0.6796420581655482,0.0139637463394426
190412,0.7066666666666666,0.0442216638714053
359977,0.7215018748766528,0.0108831100642287
190146,0.7380392156862743,0.0179537617917797
168784,0.7620512820512821,0.0180388457549031
190410,0.7624429223744292,0.0080913448158307
359981,0.768273092369478,0.0167134193335935
359955,0.7724444444444445,0.0058962218495206
168757,0.7753333333333334,0.0185711843695788
168911,0.8093645484949834,0.0074284643250647
190392,0.8492569002123141,0.0108259437655897
359983,0.8521323780279767,0.0021071589563282
190411,0.859437751004016,0.0049513365485694
359956,0.8610062893081759,0.0135475844204641
359962,0.8625592417061613,0.0057396215243554
146818,0.8985507246376812,0.0149680515795455
359982,0.9005897095680379,0.0017088863489125
359958,0.9146118721461188,0.0124716897568471
359953,0.9183908045977012,0.0231031623474043
359964,0.9253918495297808,0.0082701604754062
189922,0.9255274261603376,0.0093781058105032
359963,0.9258297258297258,0.0075589038116645
359957,0.9290123456790124,0.0160967960622287
359971,0.9303797468354432,0.0068302425433225
190137,0.9393700787401572,0.0045003748555071
359980,0.940392611933082,0.0049231328568589
359960,0.9406551059730248,0.019050800916082
359961,0.9516666666666664,0.0053748384988657
146820,0.9720385674931132,0.0023697865749428
359965,0.9854166666666668,0.0043700368673756
359987,0.995689655172414,0.0005191535535924
