task_id,method,run,test_score,cv_score
2073,EA,0,0.6778523489932886,0.5917602996254682
2073,EA,1,0.6174496644295302,0.5513108614232209
2073,EA,2,0.6040268456375839,0.546067415730337
2073,EA,3,0.5973154362416108,0.5310861423220974
2073,EA,4,0.5704697986577181,0.5265917602996255
2073,EA,5,0.6375838926174496,0.5692883895131086
2073,EA,6,0.6510067114093959,0.6044943820224719
2073,EA,7,0.6040268456375839,0.5430711610486891
2073,EA,8,0.5906040268456376,0.5535580524344569
2073,EA,9,0.5838926174496645,0.5101123595505618
2073,EA,10,0.5973154362416108,0.5310861423220974
2073,EA,11,0.5973154362416108,0.5243445692883895
2073,EA,12,0.6040268456375839,0.5475655430711611
2073,EA,13,0.5637583892617449,0.5191011235955056
2073,EA,14,0.5838926174496645,0.5176029962546816
2073,EA,15,0.6241610738255033,0.5393258426966293
2073,EA,16,0.5637583892617449,0.5243445692883896
2073,EA,17,0.5704697986577181,0.5250936329588015
2073,EA,18,0.5973154362416108,0.5250936329588015
2073,EA,19,0.6510067114093959,0.5543071161048688
2073,Random,0,0.6845637583892618,0.6007490636704119
2073,Random,1,0.6644295302013423,0.602996254681648
2073,Random,2,0.6912751677852349,0.5970037453183521
2073,Random,3,0.6711409395973155,0.59625468164794
2073,Random,4,0.6912751677852349,0.600749063670412
2073,Random,5,0.6912751677852349,0.600749063670412
2073,Random,6,0.6778523489932886,0.6044943820224719
2073,Random,7,0.697986577181208,0.6127340823970038
2073,Random,8,0.6711409395973155,0.5947565543071162
2073,Random,9,0.7046979865771812,0.594756554307116
2073,Random,10,0.6644295302013423,0.601498127340824
2073,Random,11,0.6644295302013423,0.6037453183520599
2073,Random,12,0.6577181208053692,0.5970037453183521
2073,Random,13,0.6711409395973155,0.597752808988764
2073,Random,14,0.6912751677852349,0.6157303370786517
2073,TPEBO,0,0.6912751677852349,0.6052434456928838
2073,TPEBO,1,0.6577181208053692,0.599250936329588
2073,TPEBO,2,0.7046979865771812,0.6119850187265918
2073,TPEBO,3,0.697986577181208,0.6187265917602996
2073,TPEBO,4,0.6912751677852349,0.6194756554307116
2073,TPEBO,5,0.6711409395973155,0.6172284644194757
2073,TPEBO,6,0.6912751677852349,0.6292134831460674
2073,TPEBO,7,0.7046979865771812,0.6164794007490637
2073,TPEBO,8,0.697986577181208,0.6134831460674157
2073,TPEBO,9,0.697986577181208,0.6262172284644194
2073,TPEBO,10,0.6845637583892618,0.601498127340824
2073,TPEBO,11,0.6912751677852349,0.6232209737827714
2073,TPEBO,12,0.6778523489932886,0.6164794007490637
2073,TPEBO,13,0.5704697986577181,0.5273408239700375
2073,TPEBO,14,0.7114093959731543,0.5962546816479402
2073,TPEBO,15,0.6845637583892618,0.597003745318352
2073,TPEBO,16,0.6912751677852349,0.6074906367041198
2073,TPEBO,17,0.6442953020134228,0.5865168539325843
2073,TPEBO,18,0.7046979865771812,0.6157303370786517
2073,TPEBO,19,0.6711409395973155,0.600749063670412
2073,TPEC,0,0.6778523489932886,0.5857677902621724
2073,TPEC,1,0.6174496644295302,0.5445692883895131
2073,TPEC,2,0.5637583892617449,0.5213483146067416
2073,TPEC,3,0.6375838926174496,0.5610486891385768
2073,TPEC,4,0.5637583892617449,0.5310861423220973
2073,TPEC,5,0.6577181208053692,0.5662921348314607
2073,TPEC,6,0.6241610738255033,0.5670411985018726
